title,url,explicit,genre tags,generalized mood tags,mood tag
Mood Booster,https://open.spotify.com/embed/playlist/37i9dQZF1DX3rxVfibe1L0?si=4JNsRl_hTgarBT2ovGpWLA,yes,multiple,upbeat,happy
Walk Like A Badass,https://open.spotify.com/embed/playlist/37i9dQZF1DX1tyCD9QhIWF?si=GOOG7D5-R7CbbRlh7rMG3Q,yes,"pop, rock",upbeat,confident
Sad Bops,https://open.spotify.com/embed/playlist/37i9dQZF1DWZUAeYvs88zc?si=uM0IEup7TZ2bEM3dJgz5cg,yes,multiple,gloomy,sad
Classics For Crying,https://open.spotify.com/embed/playlist/37i9dQZF1DX15JKV0q7shD?si=KVQZyR_3S_-kC37CioxR2Q,no,multiple,gloomy,sad
Happy Hits!,https://open.spotify.com/embed/playlist/37i9dQZF1DXdPec7aLTmlC?si=rwynI67CSlemY0_JljRZ0Q,yes,multiple,upbeat,happy
Happy Beats,https://open.spotify.com/embed/playlist/37i9dQZF1DWSf2RDTDayIx?si=UtzQQht1SUClmlc8XTvDvQ,no,multiple,upbeat,happy
Confidence Boost,https://open.spotify.com/embed/playlist/37i9dQZF1DX4fpCWaHOned?si=Gdcb0hLGSN6qwFGeeaY5xw,yes,multiple,upbeat,confident
Feelin' Good,https://open.spotify.com/embed/playlist/37i9dQZF1DX9XIFQuFvzM4?si=D1PkTLJwT6C7ACWtoTnktA,yes,multiple,mellow,"happy, chill"
Heart Beats,https://open.spotify.com/embed/playlist/37i9dQZF1DWSRc3WJklgBs?si=pxX1k78dQz62LS7tkZOxWQ,no,multiple,upbeat,romance
Feel Good Indie Rock,https://open.spotify.com/embed/playlist/37i9dQZF1DX2sUQwD7tbmL?si=TLuuYxzhQP-gCPF08OvGJQ,yes,"indie, rock",mellow,"happy, chill"
Down In The Dumps,https://open.spotify.com/embed/playlist/37i9dQZF1DWSqBruwoIXkA?si=YNn8MEPsSr6MW4NGeismwQ,yes,pop,gloomy,"sad, angry"
Dreamy Vibes,https://open.spotify.com/embed/playlist/37i9dQZF1DWSiZVO2J6WeI?si=dSfmeHuuSU-YJ8qIhfrCqQ,no,electronic,mellow,"happy, romance"
Alone Again,https://open.spotify.com/embed/playlist/37i9dQZF1DWX83CujKHHOn?si=2vCAzVttRwiobZ20XLWSXw,yes,multiple,gloomy,"sad, chill"
Happy Folk,https://open.spotify.com/embed/playlist/37i9dQZF1DWSkMjlBZAZ07?si=_6L8j6isQCGFxn1SuI6JmA,yes,"folk, indie",mellow,"happy, chill"
Tear Drop,https://open.spotify.com/embed/playlist/37i9dQZF1DX6xZZEgC9Ubl?si=IPthkHhtQFC8n0iJ8a6kVQ,yes,hiphop,gloomy,sad
Wake Up Happy,https://open.spotify.com/embed/playlist/37i9dQZF1DX0UrRvztWcAU?si=DqlwsPOqT8-B8ceDc0Y2HQ,yes,multiple,upbeat,"happy, chill"
Rage Beats,https://open.spotify.com/embed/playlist/37i9dQZF1DX3ND264N08pv?si=peKX3NQfSIWgxY2xWzIUlA,yes,electronic,gloomy,angry
Sad Indie,https://open.spotify.com/embed/playlist/37i9dQZF1DWVV27DiNWxkR?si=fXin9oRmSoWSYx39dGl9fA,no,indie,gloomy,sad
Sad Beats,https://open.spotify.com/embed/playlist/37i9dQZF1DWVrtsSlLKzro?si=8jhA5jd7TrqyWdEzgFAQyA,yes,electronic,gloomy,sad
Melancholy Instrumentals,https://open.spotify.com/embed/playlist/37i9dQZF1DWZrc3lwvImLj?si=20Noboa9QVSaU1oDh7f2kw,no,instrumental,mellow,neutral
Devastating,https://open.spotify.com/embed/playlist/37i9dQZF1DX33TfGBYPkRQ?si=q6EyFKKjSaK-F-r88ZQ0FA,yes,multiple,gloomy,"sad,angry"
Piano Comfort,https://open.spotify.com/embed/playlist/37i9dQZF1DWVEerxa93vDU?si=HE3Ad_MITqCaML0peLEL3A,no,instrumental,mellow,neutral
Feel Good Piano,https://open.spotify.com/embed/playlist/37i9dQZF1DXcEKFjZJYZcc?si=8aJYnRRJRSec8Geda9R-lw,no,instrumental,mellow,neutral
Just Smile,https://open.spotify.com/embed/playlist/37i9dQZF1DWVu0D7Y8cYcs?si=7jZZseEgTzqEzLb-Q6ZRaA,yes,multiple,upbeat,happy
The Stress Buster,https://open.spotify.com/embed/playlist/37i9dQZF1DWUvQoIOFMFUT?si=kxTYdQgySRqmV4k2rX9evA,yes,multiple,mellow,chill
